date,股票代码,open,close,high,low,volume,amount,振幅,pct_change,涨跌额,turnover
2025-12-12,300750,385.09,384.89,386.48,378.59,240020,9355490916.0,2.07,0.74,2.81,0.56
2025-12-15,300750,384.59,378.59,388.06,378.3,182750,7099251459.0,2.54,-1.64,-6.3,0.43
2025-12-16,300750,379.09,371.5,382.17,371.12,191217,7292054834.0,2.92,-1.87,-7.09,0.45
2025-12-17,300750,369.54,376.51,377.59,368.15,222574,8453303233.0,2.54,1.35,5.01,0.52
2025-12-18,300750,372.66,365.09,374.04,363.1,296393,11079385459.0,2.91,-3.03,-11.42,0.7
2025-12-19,300750,367.17,367.09,370.77,363.89,175599,6572807889.0,1.88,0.55,2.0,0.41
2025-12-22,300750,369.09,364.93,371.08,361.19,254935,9489773616.0,2.69,-0.59,-2.16,0.6
2025-12-23,300750,365.09,371.19,373.59,364.69,236041,8879315764.0,2.44,1.72,6.26,0.55
2025-12-24,300750,371.17,368.69,371.17,365.09,210884,7902857946.0,1.64,-0.67,-2.5,0.5
2025-12-25,300750,367.3,366.1,367.3,362.21,203431,7559336244.0,1.38,-0.7,-2.59,0.48
2025-12-26,300750,366.05,367.52,371.09,363.19,257237,9616116052.0,2.16,0.39,1.42,0.6
2025-12-29,300750,367.09,362.4,367.52,361.09,241241,8924502782.0,1.75,-1.39,-5.12,0.57
2025-12-30,300750,360.19,362.29,364.09,359.65,190308,7014015793.0,1.23,-0.03,-0.11,0.45
2025-12-31,300750,362.88,360.35,365.09,360.24,160266,5920431545.0,1.34,-0.54,-1.94,0.38
2026-01-05,300750,363.09,370.59,371.09,361.28,336881,12583419573.0,2.72,2.84,10.24,0.79
2026-01-06,300750,373.09,367.08,373.59,362.13,341477,12764795666.0,3.09,-0.95,-3.51,0.8
2026-01-07,300750,366.04,364.1,368.57,361.58,262285,9730943679.0,1.9,-0.81,-2.98,0.62
2026-01-08,300750,361.09,362.3,366.42,360.09,269590,9962397479.0,1.74,-0.49,-1.8,0.63
2026-01-09,300750,362.26,362.32,370.72,360.1,314772,11681035309.0,2.93,0.01,0.02,0.74
2026-01-12,300750,361.09,354.77,361.09,344.75,488307,17505537198.0,4.51,-2.08,-7.55,1.15
